date,City,Year,Population,Month
2000-01-01,Baton Rouge,2000,227818.0,1
2000-02-01,Baton Rouge,2000,227831.95833333334,2
2000-03-01,Baton Rouge,2000,227845.91666666666,3
2000-04-01,Baton Rouge,2000,227859.875,4
2000-05-01,Baton Rouge,2000,227873.83333333334,5
2000-06-01,Baton Rouge,2000,227887.79166666666,6
2000-07-01,Baton Rouge,2000,227901.75,7
2000-08-01,Baton Rouge,2000,227915.70833333334,8
2000-09-01,Baton Rouge,2000,227929.66666666666,9
2000-10-01,Baton Rouge,2000,227943.625,10
2000-11-01,Baton Rouge,2000,227957.58333333334,11
2000-12-01,Baton Rouge,2000,227971.54166666666,12
2001-01-01,Baton Rouge,2001,227985.5,1
2001-02-01,Baton Rouge,2001,227999.45833333334,2
2001-03-01,Baton Rouge,2001,228013.41666666666,3
2001-04-01,Baton Rouge,2001,228027.375,4
2001-05-01,Baton Rouge,2001,228041.33333333334,5
2001-06-01,Baton Rouge,2001,228055.29166666666,6
2001-07-01,Baton Rouge,2001,228069.25,7
2001-08-01,Baton Rouge,2001,228083.20833333334,8
2001-09-01,Baton Rouge,2001,228097.16666666666,9
2001-10-01,Baton Rouge,2001,228111.125,10
2001-11-01,Baton Rouge,2001,228125.08333333334,11
2001-12-01,Baton Rouge,2001,228139.04166666666,12
2002-01-01,Baton Rouge,2002,228153.0,1
2002-02-01,Baton Rouge,2002,228166.95833333334,2
2002-03-01,Baton Rouge,2002,228180.91666666666,3
2002-04-01,Baton Rouge,2002,228194.875,4
2002-05-01,Baton Rouge,2002,228208.83333333334,5
2002-06-01,Baton Rouge,2002,228222.79166666666,6
2002-07-01,Baton Rouge,2002,228236.75,7
2002-08-01,Baton Rouge,2002,228250.70833333334,8
2002-09-01,Baton Rouge,2002,228264.66666666666,9
2002-10-01,Baton Rouge,2002,228278.625,10
2002-11-01,Baton Rouge,2002,228292.58333333334,11
2002-12-01,Baton Rouge,2002,228306.54166666666,12
2003-01-01,Baton Rouge,2003,228320.5,1
2003-02-01,Baton Rouge,2003,228334.45833333334,2
2003-03-01,Baton Rouge,2003,228348.41666666666,3
2003-04-01,Baton Rouge,2003,228362.375,4
2003-05-01,Baton Rouge,2003,228376.33333333334,5
2003-06-01,Baton Rouge,2003,228390.29166666666,6
2003-07-01,Baton Rouge,2003,228404.25,7
2003-08-01,Baton Rouge,2003,228418.20833333334,8
2003-09-01,Baton Rouge,2003,228432.16666666666,9
2003-10-01,Baton Rouge,2003,228446.125,10
2003-11-01,Baton Rouge,2003,228460.08333333334,11
2003-12-01,Baton Rouge,2003,228474.04166666666,12
2004-01-01,Baton Rouge,2004,228488.0,1
